,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
51962,20020110X00051,Accident,ATL02LA029,2002-01-02,"GREENVILLE, SC",United States,Substantial,,Boeing,727-200,3.0,Turbo Fan,,Taxi
51963,20020116X00081,Accident,SEA02TA022,2002-01-03,"BUTTE, MT",United States,Substantial,,Hughes,369D,1.0,Turbo Shaft,Public Aircraft,Cruise
51964,20020107X00041,Accident,CHI02LA057,2002-01-03,"LAKE LEELANAU, MI",United States,Substantial,,Aeronca,11AC,1.0,Reciprocating,Personal,Landing
51966,20020110X00052,Accident,ATL02TA030,2002-01-04,"TAMPA, FL",United States,Substantial,,Hughes,OH-6A,1.0,Turbo Shaft,Public Aircraft,Maneuvering
51967,20020108X00048,Accident,LAX02FA059,2002-01-04,"Petaluma, CA",United States,Destroyed,,Cessna,152,1.0,Reciprocating,Unknown,Climb
51969,20020123X00100,Accident,LAX02LA062,2002-01-05,"RENO, NV",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Personal,Landing
51971,20020123X00102,Accident,LAX02FA061,2002-01-05,"BUENA PARK, CA",United States,Destroyed,,Cessna,T337H,2.0,Reciprocating,Personal,Approach
51972,20020108X00047,Accident,FTW02FA062,2002-01-05,"Oak Grove, LA",United States,Destroyed,,Beech,95-B55,2.0,Reciprocating,Personal,Maneuvering
51973,20020117X00084,Accident,DEN02FA017,2002-01-05,"Boulder, CO",United States,Destroyed,,Cessna,172K,1.0,Reciprocating,Personal,Maneuvering
51975,20020108X00044,Accident,ATL02FA031,2002-01-05,"Rio Grande, PR",United States,Destroyed,,Cessna,441,2.0,Turbo Prop,Personal,Cruise
51976,20020109X00050,Accident,CHI02LA060,2002-01-06,"STURGIS, MI",United States,Substantial,,Cessna,414A,2.0,Reciprocating,Personal,Climb
51977,20020110X00059,Accident,CHI02LA051,2002-01-06,"Angola, IN",United States,Destroyed,,Beech,S35,1.0,Reciprocating,Personal,Approach
51980,20020125X00134,Accident,SEA02LA024,2002-01-08,"GRAND COULEE, WA",United States,Substantial,,Hughes,369E,1.0,Turbo Shaft,Other Work Use,Maneuvering
51981,20020114X00067,Accident,NYC02LA047,2002-01-08,"COVINGTON, KY",United States,Substantial,Airplane,Swearingen,SA-227-AT,2.0,Turbo Prop,,Taxi
51983,20020115X00071,Accident,ATL02LA036,2002-01-08,"BELLEWOOD, MS",United States,Substantial,,Cessna,170B,1.0,Reciprocating,Personal,Approach
51984,20020116X00080,Accident,SEA02LA025,2002-01-09,"GREAT FALLS, MT",United States,Substantial,,Cessna,210L,1.0,Reciprocating,Business,Maneuvering
51985,20020110X00058,Accident,FTW02LA063,2002-01-09,"DURANGO, CO",United States,Substantial,,Cessna,172N,1.0,Reciprocating,Personal,Maneuvering
51986,20020123X00099,Accident,LAX02LA067,2002-01-10,"SAN JOSE, CA",United States,Substantial,,Farrand,Vans RV6,1.0,Reciprocating,Personal,Landing
51987,20020114X00065,Accident,FTW02LA066,2002-01-10,"ALBUQUERQUE, NM",United States,Substantial,Airplane,Piper,PA-46T,1.0,Turbo Prop,Personal,Approach
51988,20020115X00070,Accident,ATL02LA035,2002-01-10,"OAK HILL, FL",United States,Substantial,,Springer,Longbow 150,1.0,Reciprocating,Personal,Maneuvering
51990,20020115X00076,Accident,LAX02LA064,2002-01-11,"TEHACHAPI, CA",United States,Substantial,,Piper,PA-22-108,1.0,Reciprocating,Personal,Maneuvering
51992,20020204X00167,Accident,NYC02LA048,2002-01-12,"NANTUCKET, MA",United States,Substantial,,Piper,PA-28,1.0,Reciprocating,Personal,Approach
51995,20020118X00088,Accident,CHI02LA062,2002-01-12,"RUSH CITY, MN",United States,Substantial,,Wolter,Avid Flyer,1.0,Reciprocating,Personal,Takeoff
51996,20020122X00096,Accident,ATL02LA038,2002-01-12,"PANAMA CITY, FL",United States,Substantial,,H.S. Mosley,CUBY SPORT,1.0,Reciprocating,Personal,Landing
51998,20040909X01374,Accident,FTW02LA270,2002-01-12,"La Vernia, TX",United States,Minor,,Raven,S60A,0.0,,Other Work Use,Approach
52001,20020115X00075,Accident,LAX02LA065,2002-01-13,"OCEANO, CA",United States,Substantial,,Piper,PA-24-250,1.0,Reciprocating,Personal,Approach
52002,20020123X00098,Accident,DEN02LA020,2002-01-13,"GRAND JUNCTION, CO",United States,Substantial,,Maule,M-5-235C,1.0,Reciprocating,Personal,Landing
52003,20020115X00072,Accident,CHI02LA063,2002-01-13,"MATTOON, IL",United States,Substantial,,Beech,V35B,1.0,Reciprocating,Personal,Cruise
52004,20020122X00097,Accident,ATL02LA039,2002-01-13,"SANFORD, NC",United States,Substantial,,Cessna,172M,1.0,Reciprocating,Personal,Landing
52005,20020122X00095,Accident,ATL02LA037,2002-01-13,"BAYOU LA BATRE, AL",United States,Substantial,,Consolidated-Vultee,108-M,1.0,Reciprocating,Personal,Takeoff
52007,20020122X00091,Accident,MIA02FA049,2002-01-13,"Micanopy, FL",United States,Destroyed,,Piper,PA-24-250,1.0,Reciprocating,Personal,Maneuvering
52008,20020117X00086,Accident,LAX02LA066,2002-01-14,"GROVELAND, CA",United States,Substantial,,Piper,PA-28-180,1.0,Reciprocating,Personal,Cruise
52009,20020124X00126,Accident,IAD02LA025,2002-01-14,"OXFORD, MA",United States,Substantial,,Piper,PA-28-180,1.0,Reciprocating,Business,Takeoff
52010,20020117X00087,Accident,DEN02LA018,2002-01-14,"PAGOSA SPRINGS, CO",United States,Substantial,,Piper,PA-23-250,2.0,Reciprocating,Personal,Takeoff
52012,20020118X00089,Accident,FTW02LA069,2002-01-15,"PLAINVIEW, TX",United States,Substantial,,Bellanca,17-30,1.0,Reciprocating,Personal,Approach
52013,20020123X00101,Accident,FTW02LA067,2002-01-15,"IRAAN, TX",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,Landing
52014,20020204X00181,Accident,ANC02FA010,2002-01-15,"HAINES, AK",United States,Substantial,,Piper,PA-32,1.0,Reciprocating,,Cruise
52019,20020122X00092,Accident,MIA02LA050,2002-01-17,"Lake Placid, FL",United States,Destroyed,,Mooney,M20J,1.0,Reciprocating,Personal,Takeoff
52020,20020124X00113,Accident,FTW02FA071,2002-01-17,"Sinton, TX",United States,Destroyed,,Beech,C23,1.0,Reciprocating,Personal,Go-around
52021,20020125X00132,Accident,FTW02FA070,2002-01-17,"Temple, TX",United States,Destroyed,,Cessna,340A,2.0,Reciprocating,Business,Cruise
52022,20020207X00197,Accident,SEA02LA034,2002-01-18,"BAKER CITY, OR",United States,Substantial,,Rockwell,500-S,2.0,Reciprocating,Personal,Landing
52027,20020204X00175,Accident,SEA02LA031,2002-01-19,"GLASGOW, MT",United States,Substantial,,Mooney,M20E,1.0,Reciprocating,Personal,Takeoff
52028,20020125X00131,Accident,ATL02LA042,2002-01-19,"ST. PETERSBURG, FL",United States,Substantial,,Louis Edmondson,162F,1.0,Reciprocating,Personal,Takeoff
52030,20020214X00216,Accident,NYC02LA056,2002-01-20,"DULLES, VA",United States,Substantial,,Mcdonnell Douglas Aircraft Co,DC-9-32,2.0,Turbo Fan,,Taxi
52032,20020201X00159,Accident,MIA02LA056,2002-01-20,"SARASOTA, FL",United States,Substantial,,Maule,M-7-235B,1.0,Reciprocating,Personal,Landing
52034,20020129X00148,Accident,CHI02LA065,2002-01-20,"CLEAR LAKE, MN",United States,Substantial,,Piper,PA-18,1.0,Reciprocating,Personal,Takeoff
52036,20020213X00214,Accident,LAX02LA082,2002-01-21,"MAMMOTH LAKES, CA",United States,Substantial,,Beech,B36TC,1.0,Reciprocating,Personal,Takeoff
52037,20020123X00111,Accident,LAX02LA068,2002-01-21,"MAMMOTH LAKES, CA",United States,Substantial,,Cessna,206H,1.0,Reciprocating,Personal,Landing
52039,20020124X00112,Accident,CHI02LA068,2002-01-21,"IOWA FALLS, IA",United States,Substantial,,Piper,PA-22-160,1.0,Reciprocating,Personal,Landing
52040,20020128X00141,Accident,NYC02LA049,2002-01-22,"DANVILLE, KY",United States,Substantial,,Stiles,Choctaw,1.0,Reciprocating,Personal,Climb
52041,20020201X00158,Accident,MIA02LA055,2002-01-22,"MILTON, FL",United States,Substantial,,Bellanca,7KCAB,1.0,Reciprocating,Personal,Landing
52042,20020128X00140,Accident,FTW02FA072,2002-01-22,"FARMINGTON, NM",United States,Substantial,,Cessna,177,1.0,Reciprocating,Business,Approach
52043,20020128X00143,Accident,CHI02LA066,2002-01-22,"CHICAGO, IL",United States,Substantial,,Cessna,T210N,1.0,Reciprocating,Business,Takeoff
52048,20020206X00190,Accident,IAD02LA027,2002-01-24,"WATERVILLE, ME",United States,Substantial,,Cessna,208B,1.0,Turbo Prop,,Takeoff
52049,20020125X00135,Accident,CHI02LA069,2002-01-24,"Indianapolis, IN",United States,,Airplane,Mcdonnell Douglas Aircraft Co,DC-9-41,2.0,Turbo Jet,,Standing
52050,20020129X00147,Accident,MIA02LA053,2002-01-25,"BOCA RATON, FL",United States,Substantial,,Cessna,182L,1.0,Reciprocating,Personal,Cruise
52051,20020205X00188,Accident,NYC02FA051,2002-01-25,"Chittenden, VT",United States,Destroyed,,Smith,Aerostar 601P,2.0,Reciprocating,Personal,Maneuvering
52053,20020205X00187,Accident,NYC02LA054,2002-01-26,"LYNCHBURG, VA",United States,Substantial,,Beech,F33A,1.0,Reciprocating,Personal,Takeoff
52054,20020204X00169,Accident,NYC02LA052,2002-01-26,"MARLBORO, MA",United States,Substantial,,Socata,TB-9,1.0,Reciprocating,Business,Landing
52055,20020201X00157,Accident,MIA02LA054,2002-01-26,"IMMOKALEE, FL",United States,Substantial,,"Quitzau, Carl",Vortex,1.0,Reciprocating,Personal,Cruise
52057,20020207X00201,Accident,LAX02LA070,2002-01-26,"PAYSON, AZ",United States,Substantial,,Cessna,172M,1.0,Reciprocating,Personal,Landing
52058,20020201X00160,Accident,LAX02FA069,2002-01-26,"NORTH LAS VEGAS, NV",United States,Substantial,,Cameron Balloons Us,N-145,0.0,,Other Work Use,Approach
52061,20020128X00144,Accident,CHI02LA071,2002-01-26,"BLOOMINGTON, IN",United States,Substantial,,Beech,F33A,1.0,Reciprocating,Personal,Landing
52062,20020204X00176,Accident,SEA02LA032,2002-01-27,"EAGLE POINT, OR",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Personal,Landing
52065,20020206X00191,Accident,IAD02LA028,2002-01-27,"CLARKSVILLE, VA",United States,Substantial,,Wilburn,Jodel F-12,1.0,Reciprocating,Personal,Maneuvering
52066,20020204X00172,Accident,CHI02LA070,2002-01-27,"Alexandria, MN",United States,Destroyed,,Bellanca,17-30A,1.0,Reciprocating,Personal,Takeoff
52069,20020917X01618,Accident,CHI02LA073,2002-01-28,"FALLS CITY, NE",United States,Substantial,,Piper,PA-32-300,1.0,Reciprocating,Personal,Landing
52071,20020207X00195,Accident,DEN02LA023,2002-01-28,"American Fork, UT",United States,Destroyed,,Beech,V35B,1.0,Reciprocating,Business,Maneuvering
52073,20020201X00163,Accident,CHI02LA075,2002-01-30,"AMES, IA",United States,Substantial,,Piper,PA-42-720,2.0,Turbo Prop,Business,Approach
52074,20020201X00161,Accident,LAX02LA072,2002-01-30,"San Diego, CA",United States,Destroyed,,Hillyer,XL-RG Velocity,1.0,Turbo Prop,Personal,Descent
52075,20020205X00185,Accident,LAX02FA073,2002-01-30,"Stonyford, CA",United States,Destroyed,,Piper,Aerostar 601P,2.0,Reciprocating,Business,Cruise
52076,20020207X00196,Accident,CHI02FA074,2002-01-30,"Winfield, KS",United States,Destroyed,,Cessna,441,2.0,Turbo Prop,Business,Cruise
52077,20020204X00178,Accident,SEA02FA035,2002-01-31,"SILVER CITY, MT",United States,Substantial,,Robinson,R-22 BETA,1.0,Reciprocating,Other Work Use,Other
52078,20020214X00223,Accident,NYC02FA055,2002-01-31,"Chester, CT",United States,Destroyed,,Beech,V35B,1.0,Reciprocating,Business,Approach
52079,20020205X00186,Accident,MIA02LA058,2002-02-01,"MOLINO, FL",United States,Substantial,,Harleman,Tornado II,1.0,Reciprocating,Personal,Approach
52081,20020228X00287,Accident,ANC02LA012,2002-02-01,"OUZINKIE, AK",United States,Substantial,,Britten-Norman,BN2A-26,2.0,Reciprocating,,Takeoff
52082,20020212X00209,Accident,SEA02FA036,2002-02-02,"PUYALLUP, WA",United States,Substantial,,Aero Commander,520,2.0,Reciprocating,Unknown,Takeoff
52083,20020715X01134,Accident,LAX02LA221,2002-02-02,"SANTA ANA, CA",United States,Substantial,,Beech,58P,2.0,Reciprocating,Personal,Landing
52084,20020212X00205,Accident,LAX02LA078,2002-02-02,"RIO VISTA, CA",United States,Substantial,,Robinette,Ultra Pup,1.0,Reciprocating,Personal,Takeoff
52086,20020207X00199,Accident,LAX02LA077,2002-02-03,"SAN SIMEON, CA",United States,Substantial,,Beech,T-34B/D-45,1.0,Reciprocating,Personal,Cruise
52087,20020206X00192,Accident,LAX02LA076,2002-02-03,"JOSHUA TREE, CA",United States,Substantial,,Beech,95-B55,2.0,Reciprocating,Personal,Approach
52090,20020206X00193,Accident,FTW02LA076,2002-02-04,"Hobbs, NM",United States,Destroyed,,Piper,PA-31T,2.0,Turbo Prop,Personal,Approach
52091,20020228X00285,Accident,ANC02FA014,2002-02-04,"Bethel, AK",United States,Destroyed,,Cessna,206,1.0,Reciprocating,,Cruise
52093,20020228X00286,Accident,ANC02LA013,2002-02-05,"TALKEETNA, AK",United States,Substantial,,Cessna,150,1.0,Reciprocating,Personal,Maneuvering
52095,20020208X00203,Accident,FTW02LA077,2002-02-06,"CAMDEN, AR",United States,Substantial,,Beech,200,2.0,Turbo Prop,Executive/corporate,Landing
52096,20020212X00206,Accident,ATL02FA043,2002-02-06,"Atlanta, GA",United States,Destroyed,,Piper,PA-32-300,1.0,Reciprocating,Business,Cruise
52097,20020214X00222,Accident,LAX02FA075,2002-02-07,"NOVATO, CA",United States,Substantial,,Cessna,525A,2.0,Turbo Fan,Personal,Landing
52098,20020213X00212,Accident,FTW02LA078,2002-02-07,"HOUSTON, TX",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Other Work Use,Maneuvering
52099,20020318X00361,Accident,ANC02LA018,2002-02-07,"GIRDWOOD, AK",United States,Substantial,,Aerospatiale,AS350-B,1.0,Turbo Shaft,,Landing
52100,20020213X00213,Accident,NYC02LA057,2002-02-08,"POINT PLEASANT, WV",United States,Substantial,,Beech,BE-23,1.0,Reciprocating,Personal,Landing
52102,20020315X00350,Accident,DEN02LA029,2002-02-08,"Broomfield, CO",United States,,,Gulfstream Aerospace,G-IV,2.0,Turbo Fan,Executive/corporate,Descent
52103,20020222X00246,Accident,NYC02LA058,2002-02-09,"FREMONT, OH",United States,Substantial,,Piper,PA-20,1.0,Reciprocating,Personal,Landing
52104,20020214X00220,Accident,LAX02LA081,2002-02-09,"PRESCOTT, AZ",United States,Substantial,,Conrad,PULSAR 582,1.0,Reciprocating,Personal,Landing
52105,20020214X00221,Accident,LAX02LA080,2002-02-09,"SAN DIEGO, CA",United States,Substantial,,Great Lakes,2T-1A-1,1.0,Reciprocating,Personal,Landing
52107,20020228X00289,Accident,SEA02LA039,2002-02-10,"BORING, OR",United States,Substantial,,Bitton/Sport Flight Aviation,Talon,1.0,Reciprocating,Personal,Maneuvering
52108,20020212X00210,Accident,SEA02LA038,2002-02-10,"CRESWELL, OR",United States,Substantial,,Boeing Stearman,A75N1,1.0,Reciprocating,Personal,Landing
52110,20020219X00229,Accident,LAX02LA086,2002-02-10,"JEAN, NV",United States,Substantial,,Cessna,180,,Reciprocating,Personal,Takeoff
52111,20020214X00217,Accident,MIA02FA059,2002-02-10,"Cedar Key, FL",United States,Destroyed,,Cessna,TR182,1.0,Reciprocating,Personal,Takeoff
52113,20020327X00410,Accident,FTW02LA085,2002-02-11,"GATESVILLE, TX",United States,Substantial,,Quicksilver,MXL II Sport,1.0,Reciprocating,Personal,Maneuvering
52114,20020214X00219,Accident,FTW02LA080,2002-02-11,"ENCINO, TX",United States,Substantial,,Robinson,R-22A,1.0,Reciprocating,Other Work Use,Takeoff
52115,20020215X00226,Accident,DEN02LA024,2002-02-11,"AFTON, WY",United States,Substantial,,Aviat,A-1A,1.0,Reciprocating,Personal,Landing
52118,20020214X00225,Accident,SEA02LA040,2002-02-12,"SCAPPOOSE, OR",United States,Substantial,,Piper,PA-24-180,1.0,Reciprocating,Personal,Taxi
52119,20020220X00234,Accident,ATL02LA047,2002-02-12,"WINTER HAVEN, FL",United States,Substantial,,Piper,PA -18,1.0,Reciprocating,Personal,Landing
52120,20020219X00230,Accident,ATL02LA046,2002-02-12,"COPPERHILL, TN",United States,Substantial,,Aero Commander,500U,2.0,Reciprocating,Personal,Cruise
52121,20020219X00227,Accident,LAX02LA085,2002-02-12,"Minden, NV",United States,Destroyed,,Ellenberger/Werner,Glasair I TD,1.0,Reciprocating,Personal,Maneuvering
52122,20020220X00232,Accident,ATL02LA045,2002-02-12,"Panama City Bch, FL",United States,Destroyed,,Cessna,150,1.0,Reciprocating,Other Work Use,Maneuvering
52124,20020214X00224,Accident,LAX02LA084A,2002-02-13,"GLENDALE, AZ",United States,Substantial,,Cessna,172S,1.0,Reciprocating,Personal,Landing
52128,20020221X00241,Accident,IAD02LA030,2002-02-14,"EAST MORICHES, NY",United States,Substantial,,Korsch,Classic IV,1.0,Reciprocating,Personal,Landing
52129,20020306X00309,Accident,ANC02LA015,2002-02-14,"KOTZEBUE, AK",United States,Substantial,,Boeing,727-100,3.0,Turbo Fan,,Approach
52131,20020228X00288,Accident,SEA02LA041,2002-02-15,"PACIFIC CITY, OR",United States,Substantial,,Cessna,180,1.0,Reciprocating,Personal,Landing
52132,20020222X00247,Accident,NYC02LA061,2002-02-16,"FREDERICKSBURG, VA",United States,Substantial,,Piper,PA-28R-200,1.0,Reciprocating,Personal,Approach
52134,20020221X00239,Accident,MIA02LA061,2002-02-16,"BELLE GLADE, FL",United States,Substantial,,"Smith, Ted Aerostar",601P,2.0,Reciprocating,Business,Maneuvering
52135,20020220X00236,Accident,LAX02LA087,2002-02-16,"BEATTY, NV",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Personal,Landing
52136,20020302X00300,Accident,IAD02LA032,2002-02-16,"HARWINTON, CT",United States,Substantial,,Grumman American,AA-5B,1.0,Reciprocating,Personal,Takeoff
52137,20020220X00233,Accident,ATL02FA048,2002-02-16,"New Smyrna Bch., FL",United States,Destroyed,,Bell,206L-1,1.0,Turbo Shaft,,Cruise
52138,20020222X00250,Accident,NYC02LA062,2002-02-17,"NEWBOLDS CORNER, NJ",United States,Substantial,,Piper,PA-28-140,1.0,Reciprocating,Personal,Cruise
52139,20020227X00276,Accident,NYC02FA060,2002-02-17,"EXETER, RI",United States,Substantial,,Rockwell,500S,2.0,Reciprocating,Business,Approach
52142,20020225X00252,Accident,CHI02LA081,2002-02-17,"LYNXVILLE, WI",United States,Substantial,,Cessna,172F,1.0,Reciprocating,Personal,Cruise
52143,20020221X00243,Accident,CHI02LA079,2002-02-17,"HACKENSACK, MN",United States,Substantial,,Cessna,172H,1.0,Reciprocating,Personal,Landing
52145,20020221X00242,Accident,FTW02LA081,2002-02-18,"POND CREEK, OK",United States,Substantial,,Cessna,177,1.0,Reciprocating,Other Work Use,Maneuvering
52146,20020225X00255,Accident,DEN02LA026,2002-02-18,"ENGLEWOOD, CO",United States,Substantial,,Beech,B36TC,1.0,Reciprocating,Personal,Landing
52150,20020222X00251,Accident,NYC02LA064,2002-02-19,"ARGYLE, NY",United States,Substantial,,Piper,PA-28-140,1.0,Reciprocating,Personal,Landing
52152,20020306X00308,Accident,NYC02LA065,2002-02-19,"Beaumont, TX",United States,,,Boeing,737-724,2.0,Turbo Fan,,Climb
52153,20020228X00290,Accident,SEA02LA042,2002-02-20,"CONCRETE, WA",United States,Substantial,,Cessna,172,1.0,Reciprocating,Personal,Maneuvering
52155,20020222X00248,Accident,DEN02LA027,2002-02-20,"KEMMERER, WY",United States,Substantial,,Knight,BD-4,1.0,Reciprocating,Personal,Takeoff
52158,20020225X00256,Accident,FTW02LA084,2002-02-21,"ALBUQUERQUE, NM",United States,Substantial,,Cessna,172A,1.0,Reciprocating,Personal,Go-around
52159,20020225X00254,Accident,FTW02LA083,2002-02-21,"FREDERICKSBURG, TX",United States,Substantial,,North American,T28C,1.0,Reciprocating,Personal,Descent
52161,20020228X00278,Accident,ATL02LA050,2002-02-21,"BLOWING ROCK, NC",United States,Substantial,,Cessna,152,1.0,Reciprocating,Personal,Maneuvering
52164,20020227X00263,Accident,LAX02LA091,2002-02-22,"SAN JOSE, CA",United States,Substantial,,Beech,V35,1.0,Reciprocating,Personal,Approach
52165,20020227X00272,Accident,LAX02LA090,2002-02-22,"PASO ROBLES, CA",United States,Substantial,,Young,Mini-500,1.0,Reciprocating,Personal,Takeoff
52167,20020410X00483,Accident,NYC02LA072,2002-02-23,"ATLANTIC CITY, NJ",United States,Substantial,,Piper,PA-24-260,1.0,Reciprocating,Personal,Landing
52168,20020302X00297,Accident,NYC02LA066,2002-02-23,"ATLANTIC CITY, NJ",United States,Substantial,,Piper,PA-28-161,1.0,Reciprocating,Personal,Landing
52169,20020305X00303,Accident,IAD02LA034,2002-02-23,"FREDERICKSBURG, VA",United States,Substantial,,Cessna,170,1.0,Reciprocating,Personal,Approach
52170,20020301X00294,Accident,CHI02LA084,2002-02-23,"NEW HOLSTEIN, WI",United States,Substantial,,Cessna,172S,1.0,Reciprocating,Personal,Landing
52171,20020226X00260,Accident,CHI02LA082,2002-02-23,"FRANKLIN, IN",United States,Substantial,,Cessna,182T,1.0,Reciprocating,Personal,Landing
52172,20020306X00310,Accident,ANC02LA017,2002-02-23,"FAIRBANKS, AK",United States,Substantial,,Robinson,R-22,1.0,Reciprocating,Personal,Maneuvering
52174,20020507X00639,Accident,LAX02LA150,2002-02-23,"Moreno Valley, CA",United States,,,Thunder And Colt,Colt 120 A,,,Business,Landing
